t,s,beta,gamma,lmd,mu,coop,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,10,0.4,0.1,0.5,0.01,0.3098370407206931,9,5,2,3,10,0,7,4,8,4,8,4,2,10,8,16
1,10,0.4,0.1,0.5,0.01,0.3098370407206931,9,5,2,3,10,0,7,4,8,4,8,4,2,10,8,16
2,10,0.4,0.1,0.5,0.01,0.309594036302431,9,5,2,3,10,0,7,4,8,4,8,4,2,10,9,15
3,10,0.4,0.1,0.5,0.01,0.309594036302431,9,5,2,3,10,0,7,4,8,4,8,4,2,10,9,15
4,10,0.4,0.1,0.5,0.01,0.30935103188416885,9,5,2,3,10,0,7,4,8,4,8,4,2,10,10,14
5,10,0.4,0.1,0.5,0.01,0.30402578275921427,9,5,2,3,10,0,6,4,8,4,8,4,2,10,11,14
6,10,0.4,0.1,0.5,0.01,0.29902578275921426,9,5,2,3,10,0,6,3,8,4,8,5,2,10,11,14
7,10,0.4,0.1,0.5,0.01,0.2942578849721707,9,5,2,3,10,0,5,3,9,4,8,5,2,10,11,14
8,10,0.4,0.1,0.5,0.01,0.2942578849721707,9,5,2,3,10,0,5,3,9,4,8,5,2,10,11,14
9,10,0.4,0.1,0.5,0.01,0.2942578849721707,9,5,2,3,10,0,5,3,9,4,8,5,2,10,11,14
