lmd,r,mu,s,t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,coop_rate
0.5,0.5,0.0001,10,0,3,8,6,8,10,5,3,7,4,4,11,6,8,8,5,4,0.4016919191919192
0.5,0.5,0.0001,10,1,3,8,6,8,10,5,3,7,4,4,11,6,8,8,5,4,0.4016919191919192
0.5,0.5,0.0001,10,2,3,8,6,8,10,5,3,7,4,4,11,6,8,8,5,4,0.4016919191919192
0.5,0.5,0.0001,10,3,3,8,6,8,10,5,3,7,4,4,11,6,8,8,5,4,0.4016919191919192
0.5,0.5,0.0001,10,4,3,8,6,8,10,5,3,7,4,4,11,6,8,8,5,4,0.4016919191919192
0.5,0.5,0.0001,10,5,3,8,6,8,10,5,3,7,4,4,11,6,8,8,5,4,0.4016919191919192
0.5,0.5,0.0001,10,6,3,8,5,8,10,5,3,7,4,4,11,6,8,9,5,4,0.3927272727272727
0.5,0.5,0.0001,10,7,3,8,5,7,10,5,3,7,4,4,11,6,8,9,5,5,0.38272727272727275
0.5,0.5,0.0001,10,8,3,8,5,7,10,5,2,7,4,4,11,7,8,9,5,5,0.37772727272727274
0.5,0.5,0.0001,10,9,3,8,4,7,10,5,2,7,5,4,11,7,8,9,5,5,0.36838383838383837
0.5,0.5,0.0001,10,10,3,8,4,6,10,5,2,7,5,4,11,7,8,9,5,6,0.35838383838383836
0.5,0.5,0.0001,10,11,3,8,4,6,10,5,2,7,5,4,11,7,8,9,5,6,0.35838383838383836
0.5,0.5,0.0001,10,12,3,8,4,6,10,5,2,7,5,4,11,7,8,9,5,6,0.35838383838383836
0.5,0.5,0.0001,10,13,3,8,4,6,10,5,2,7,5,4,11,7,8,9,5,6,0.35838383838383836
0.5,0.5,0.0001,10,14,3,8,4,6,10,5,2,7,5,4,11,7,8,9,5,6,0.35838383838383836
0.5,0.5,0.0001,10,15,3,8,4,6,10,5,2,7,5,4,11,7,8,9,5,6,0.35838383838383836
0.5,0.5,0.0001,10,16,3,8,4,6,9,5,2,7,5,4,11,7,8,10,5,6,0.3537626262626263
0.5,0.5,0.0001,10,17,3,8,4,6,9,5,2,7,5,4,10,7,9,10,5,6,0.3530808080808081
0.5,0.5,0.0001,10,18,3,8,4,6,9,5,2,7,5,4,10,7,9,10,5,6,0.3530808080808081
0.5,0.5,0.0001,10,19,3,8,4,6,9,5,2,7,5,4,10,7,9,10,5,6,0.3530808080808081
0.5,0.5,0.0001,10,20,3,8,4,5,9,5,2,7,5,4,10,7,10,10,5,6,0.3430808080808081
0.5,0.5,0.0001,10,21,3,8,4,4,9,5,2,7,5,4,10,7,10,10,5,7,0.3330808080808081
0.5,0.5,0.0001,10,22,3,8,4,4,9,5,2,7,5,4,10,7,10,10,5,7,0.3330808080808081
0.5,0.5,0.0001,10,23,3,8,4,4,9,5,2,7,5,4,10,7,10,10,5,7,0.3330808080808081
0.5,0.5,0.0001,10,24,3,8,4,4,9,5,2,7,5,4,10,7,9,11,5,7,0.3340909090909091
0.5,0.5,0.0001,10,25,3,8,4,4,9,5,2,7,5,4,10,7,9,11,5,7,0.3340909090909091
0.5,0.5,0.0001,10,26,3,8,4,4,9,5,2,7,5,4,10,7,9,11,5,7,0.3340909090909091
0.5,0.5,0.0001,10,27,3,8,4,4,9,5,2,7,5,4,10,7,9,11,5,7,0.3340909090909091
0.5,0.5,0.0001,10,28,3,8,3,4,9,5,2,7,5,4,11,7,9,11,5,7,0.3247979797979798
0.5,0.5,0.0001,10,29,3,8,3,4,9,5,2,7,5,4,11,7,9,11,5,7,0.3247979797979798
0.5,0.5,0.0001,10,30,3,8,3,4,9,5,2,6,5,4,11,7,9,11,6,7,0.3190909090909091
0.5,0.5,0.0001,10,31,3,8,3,4,9,5,2,6,6,4,11,7,8,11,6,7,0.3197979797979798
0.5,0.5,0.0001,10,32,3,8,3,4,9,5,2,6,6,4,11,7,8,11,6,7,0.3197979797979798
0.5,0.5,0.0001,10,33,3,8,3,4,9,5,2,6,6,4,11,6,8,12,6,7,0.3201010101010101
0.5,0.5,0.0001,10,34,3,8,3,4,9,5,2,6,7,4,11,6,8,12,5,7,0.32083333333333336
0.5,0.5,0.0001,10,35,3,8,3,4,9,5,2,6,7,4,11,6,7,13,5,7,0.32186868686868686
0.5,0.5,0.0001,10,36,3,8,3,4,9,5,2,6,7,4,11,6,7,13,5,7,0.32186868686868686
0.5,0.5,0.0001,10,37,3,8,3,4,9,5,2,6,7,4,10,6,8,13,5,7,0.3211111111111111
0.5,0.5,0.0001,10,38,3,8,3,4,9,5,2,6,7,4,10,6,8,13,5,7,0.3211111111111111
0.5,0.5,0.0001,10,39,3,8,3,4,9,5,2,5,7,4,10,6,9,13,5,7,0.31535353535353533
0.5,0.5,0.0001,10,40,3,8,3,4,9,5,2,5,7,4,10,6,9,13,5,7,0.31535353535353533
