gamma,lmd,mu,s,t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,coop_rate
1,0.5,0.1,1,0,6,3,7,9,4,10,7,4,8,6,6,5,7,6,5,7,0.43732323232323234
1,0.5,0.1,1,1,6,3,7,9,4,10,7,4,8,6,6,5,7,6,5,7,0.43732323232323234
1,0.5,0.1,1,2,6,3,7,9,4,10,7,4,8,6,6,4,7,7,5,7,0.43853535353535356
1,0.5,0.1,1,3,5,3,7,10,4,10,7,4,8,6,6,4,7,7,5,7,0.43853535353535356
1,0.5,0.1,1,4,5,3,7,10,4,10,7,4,8,6,6,4,7,7,5,7,0.43853535353535356
1,0.5,0.1,1,5,4,3,7,10,4,10,7,4,8,6,6,5,7,7,5,7,0.42984848484848487
1,0.5,0.1,1,6,4,3,7,10,4,9,7,4,9,6,6,5,7,7,5,7,0.4223737373737374
1,0.5,0.1,1,7,4,3,7,10,4,9,7,4,9,6,6,5,7,7,5,7,0.4223737373737374
1,0.5,0.1,1,8,4,3,6,10,4,9,7,4,9,6,6,5,7,7,5,8,0.4123737373737374
1,0.5,0.1,1,9,3,3,6,10,4,9,7,4,9,7,6,5,7,7,5,8,0.40616161616161617
1,0.5,0.1,1,10,3,3,6,10,4,9,7,4,9,7,6,5,7,7,5,8,0.40616161616161617
1,0.5,0.1,1,11,3,3,7,10,4,9,7,4,9,7,6,5,7,7,5,7,0.4161616161616162
1,0.5,0.1,1,12,3,3,7,10,4,9,6,4,9,7,6,5,7,8,5,7,0.4123737373737374
1,0.5,0.1,1,13,3,3,7,10,4,9,7,4,9,7,6,5,6,8,5,7,0.41873737373737374
1,0.5,0.1,1,14,3,3,7,10,4,9,7,4,9,7,6,5,6,8,5,7,0.41873737373737374
1,0.5,0.1,1,15,3,3,7,10,4,9,7,4,9,7,6,5,6,8,5,7,0.41873737373737374
1,0.5,0.1,1,16,3,3,7,10,4,9,7,4,9,7,7,4,6,8,5,7,0.41873737373737374
1,0.5,0.1,1,17,3,3,7,10,4,9,7,4,9,7,7,4,6,8,5,7,0.41873737373737374
1,0.5,0.1,1,18,3,3,7,10,4,9,7,4,9,7,7,4,6,8,5,7,0.41873737373737374
1,0.5,0.1,1,19,3,3,7,10,4,9,7,4,9,7,7,4,6,8,5,7,0.41873737373737374
1,0.5,0.1,1,20,3,3,7,10,4,9,7,4,9,7,7,4,6,8,5,7,0.41873737373737374
1,0.5,0.1,1,21,3,3,7,10,4,9,7,4,9,7,7,4,6,8,5,7,0.41873737373737374
1,0.5,0.1,1,22,3,3,7,10,4,10,7,4,9,7,7,4,6,7,5,7,0.42505050505050507
1,0.5,0.1,1,23,3,3,7,10,4,10,6,4,10,7,7,4,6,7,5,7,0.42005050505050506
1,0.5,0.1,1,24,3,3,7,10,4,10,6,4,10,7,7,4,6,7,5,7,0.42005050505050506
1,0.5,0.1,1,25,3,2,7,10,4,10,6,4,10,7,7,4,7,7,5,7,0.4074242424242424
1,0.5,0.1,1,26,3,2,7,10,4,10,7,4,10,7,7,4,7,7,4,7,0.41373737373737374
1,0.5,0.1,1,27,3,2,7,10,4,9,7,5,10,7,7,4,7,7,4,7,0.4111111111111111
1,0.5,0.1,1,28,3,2,7,10,4,9,7,5,10,7,7,4,7,7,4,7,0.4111111111111111
1,0.5,0.1,1,29,3,2,7,10,4,9,7,5,10,7,7,4,7,7,4,7,0.4111111111111111
1,0.5,0.1,1,30,3,2,7,10,4,9,7,4,10,7,7,4,7,8,4,7,0.4074747474747475
1,0.5,0.1,1,31,3,2,7,10,4,9,7,4,10,7,7,4,7,8,4,7,0.4074747474747475
1,0.5,0.1,1,32,3,2,7,9,4,9,7,4,10,8,7,4,7,8,4,7,0.4014141414141414
1,0.5,0.1,1,33,3,2,7,9,4,9,7,4,10,8,7,4,7,8,4,7,0.4014141414141414
1,0.5,0.1,1,34,3,2,7,9,3,9,7,4,10,8,7,4,8,8,4,7,0.39505050505050504
1,0.5,0.1,1,35,3,2,7,9,3,9,7,4,11,8,7,4,8,8,4,6,0.39641414141414144
1,0.5,0.1,1,36,3,2,7,9,3,9,7,4,11,8,7,4,8,8,4,6,0.39641414141414144
1,0.5,0.1,1,37,3,2,7,9,3,9,7,4,11,8,7,4,8,8,4,6,0.39641414141414144
1,0.5,0.1,1,38,3,2,7,9,3,9,7,4,11,7,8,4,8,8,4,6,0.3937878787878788
1,0.5,0.1,1,39,3,2,7,9,3,9,7,4,11,7,8,4,8,8,4,6,0.3937878787878788
1,0.5,0.1,1,40,3,2,7,9,3,9,7,4,11,7,8,4,8,8,4,6,0.3937878787878788
1,0.5,0.1,1,41,3,2,7,9,3,9,7,4,11,7,8,4,8,8,4,6,0.3937878787878788
1,0.5,0.1,1,42,3,2,7,9,3,9,7,4,12,7,8,4,7,8,4,6,0.3951010101010101
1,0.5,0.1,1,43,3,2,7,9,3,9,7,4,12,7,8,4,7,8,4,6,0.3951010101010101
1,0.5,0.1,1,44,3,2,7,9,3,9,7,4,12,7,8,4,7,8,4,6,0.3951010101010101
1,0.5,0.1,1,45,2,2,7,9,3,9,7,4,12,7,8,5,7,8,4,6,0.38641414141414143
1,0.5,0.1,1,46,2,2,7,9,3,9,7,4,12,7,8,5,7,8,4,6,0.38641414141414143
1,0.5,0.1,1,47,2,2,7,9,3,9,7,4,12,7,8,5,7,8,4,6,0.38641414141414143
1,0.5,0.1,1,48,2,2,7,9,3,9,7,4,12,7,8,5,7,8,4,6,0.38641414141414143
1,0.5,0.1,1,49,2,2,8,9,3,9,7,4,11,7,8,5,7,8,4,6,0.3951010101010101
1,0.5,0.1,1,50,3,2,8,9,3,9,7,4,11,7,8,4,7,8,4,6,0.4037878787878788
1,0.5,0.1,1,51,4,2,8,9,3,9,7,4,11,7,8,4,7,7,4,6,0.4111111111111111
1,0.5,0.1,1,52,4,2,8,9,3,9,7,4,11,7,8,4,7,7,4,6,0.4111111111111111
1,0.5,0.1,1,53,4,2,8,8,3,9,7,4,12,7,8,4,7,7,4,6,0.4023737373737374
1,0.5,0.1,1,54,4,2,7,8,3,9,7,4,12,7,8,4,7,7,4,7,0.3923737373737374
1,0.5,0.1,1,55,4,2,7,8,3,9,7,4,13,6,8,4,7,7,4,7,0.3896969696969697
